Catogory,Title,Author,ISBN,Availibility,Summary of Content,
Romantic,Love Beyond the Stars,Emma Johnson,978-1-2345-6789-0,0,A tale of love that transcends galaxies,
Science Fiction,Quantum Odyssey,Robert Anderson,978-0-9876-5432-1,1,Exploring the mysteries of the quantum realm,
Mystery,The Enigma Cipher,Alice Parker,978-3-2109-8765-4,1,A gripping mystery with a code that needs cracking,
Fantasy,Realm of Dragons,Christopher Turner,978-4-5678-9012-3,0,Dragons and magic collide in an epic fantasy world,
Thriller,Deadly Secrets,Samantha Reed,978-5-4321-0987-6,1,A thrilling ride through a web of dangerous secrets,
Historical Fiction,The Silk Road Journey,Michael Chang,978-6-7890-1234-5,0,A historical tale of trade, adventure, and cultural exchange,
Romantic,Whispers in the Wind,Sarah Mitchell,978-7-6543-2109-8,1,A love story set against the backdrop of a small coastal town,
Science Fiction,Chronicles of Tomorrow,James Carter,978-8-7654-3210-9,0,Time travel and futuristic landscapes in a mind-bending adventure,
Mystery,The Puzzling Case of Mr. Holmes,John Watson,978-9-8765-4321-0,1,Solving crimes with the legendary detective,
Fantasy,The Elven Chronicles,Laura White,978-0-1234-5678-9,1,An epic journey through a magical realm filled with mythical creatures,
Thriller,Double Crossed,David Thompson,978-1-4321-0987-6,0,Deception and intrigue in the world of espionage,
Historical Fiction,Victorian Secrets,Charlotte Evans,978-2-1098-7654-3,1,Uncovering hidden stories from the Victorian era,
Biography,The Remarkable Life of Jane Austen,Emily Collins,978-3-4567-8901-2,1,An in-depth exploration of the life of the iconic author,
Science Fiction,Infinite Horizons,Michael Roberts,978-4-5678-9012-3,1,Adventures in space and time with a diverse cast of characters,
Thriller,Code Black,Katherine Lee,978-5-6789-0123-4,0,A high-stakes thriller involving government conspiracies and cyber warfare,
Fantasy,The Last Enchantment,Jonathan King,978-6-7890-1234-5,1,A magical quest to save a world on the brink of destruction,
Mystery,Whispers in the Shadows,Linda Davis,978-7-8901-2345-6,1,A gripping mystery set in a small town with dark secrets,
Romantic,Forever Yours,Michael Turner,978-8-9012-3456-7,0,A heartwarming romance that spans decades,
Historical Fiction,The Lost Kingdom,Sophia Rodriguez,978-9-0123-4567-8,1,A tale of power, betrayal, and survival in ancient times,
